Name,Elevation (m),lat,lon
Brandkogel,2677,46.9755144,10.8513784
Steinkogel,2635,46.9815029,10.8512164
Seekogel,3358,46.9717978,10.8102608
Wurmtalerkopf,3228,46.9385088,10.7959571
Grubenkarspitze,3002,46.9436191,10.8189991
Unknown,2821,46.9558478,10.8357137
Vorderer Eiskastenkopf,3087,46.9340291,10.8131061
Äußerer Bliggkopf,2896,46.9201782,10.7627771
Mittlerer Eiskastenkopf,3259,46.9169832,10.7965409
Gwurfjoch,2170,47.1593931,9.9641416
Kassianspitz - Cima San Cassiano,2581,46.7086294,11.4966426
Mitterschragen,2966,46.9890565,10.697222
Fissladkopf,3117,46.9431451,10.6876262
Atemkogel,3011,46.942625,10.7000395
Plattigkopf,3174,46.9274516,10.6759345
Südlicher Gamskopf,3110,46.9290442,10.6590231
Wannekopf,2880,46.9266436,10.6407631
Hochjoch,2896,46.9481387,10.6385774
Lahnkopf,2471,46.9691982,10.6223857
Rauher Kopf,2695,46.9669132,10.6342894
Blaue Wand,2567,46.9717033,10.6316776
Bruchkopf,3013,46.9065283,10.6503974
Höhlenspitze,3202,46.9007332,10.685721
Kaisergratspitze,3158,46.9032769,10.6925732
Ochsenkopf,2944,46.8959405,10.7043354
Westlicher Gratfernerkopf,3007,46.9101791,10.7009092
Östlicher Gratfernerkopf,3003,46.9107825,10.7040176
Plangeroßspitze,2942,46.9160427,10.71341
Riffljochturm,3237,46.8984626,10.6691483
Habicht,3094,46.8889866,10.6786344
Unknown,3111,46.8845392,10.6861824
Unknown,3090,46.8851961,10.6916251
Krummgampenturm,3126,46.8849932,10.6627529
Arzkarkopf,3121,46.8820964,10.663005
Östlicher Hennesiglkopf - Croda Est della Gallina,3116,46.8721186,10.6603251
Nördlicher Seekarkopf,3003,46.8778492,10.6201224
Brunnewandspitze,2982,46.8832749,10.6113669
Kleiner Schafkopf,2742,46.8741839,10.5836558
Gueser Kopf,2740,46.8841071,10.5770225
Arzkopf,2789,46.8696991,10.5910146
Unknown,2830,46.8658286,10.5909966
Valdafurnerkopf,2748,46.8968645,10.5548952
Gamorkopf,2769,46.9059145,10.5596154
Affenkopf,2626,46.910205,10.5734055
Gaißpleiskopf,2771,46.910925,10.5447274
Sunntigwaidschrofen,2552,46.9186949,10.5442882
Ulrichskopf,2457,46.9428833,10.5429125
Bazahlerkopf,2160,46.9231595,10.5053651
Rosskopf,2461,46.9388442,10.524912
Äußere Schwarze Schneide,3257,46.9377318,10.9524397
Unknown,3162,46.9311411,10.9410919
Unknown,3224,46.9341197,10.9455801
Rechter Fernerkogel,3298,46.9074373,10.8867033
Unknown,3154,46.9030131,10.9109207
Weißer Kogel,3407,46.8917016,10.9060718
Weißkarkogel,2995,46.8916588,10.9290388
Wildes Mannle,3019,46.8738153,10.8937315
Karleskopf,2901,46.938405,10.9097616
Mitterkamm,3219,46.9256642,10.8620943
Mitterkopf,3347,46.9210634,10.8540891
Vorderer Brunnenkogel,3396,46.9192652,10.856853
Schuchtkogel,3471,46.8976438,10.8756719
Schwarzkögele,3070,46.8669183,10.8320988
Petersenspitze,3472,46.8888019,10.8397175
Unknown,3376,46.8900878,10.8307698
Pitztaler Urkund,3198,46.8952631,10.8091743
Urkundkopf,2902,46.9019715,10.815469
Schwarzwandspitze,3467,46.8750917,10.7872157
Unknown,3417,46.8613731,10.7954635
Kleiner Rauher Kopf,2805,46.8685182,10.7609552
Großer Rauher Kopf,2989,46.8650567,10.7552187
Ehrichspitze,3420,46.8494284,10.7764492
Kesselwandspitze,3414,46.8485314,10.7980997
Hintere Guslarspitze,3147,46.8375556,10.8181727
Mittlere Guslarspitze,3128,46.8371047,10.8243607
Mittlere Hintereisspitze,3450,46.8266861,10.7751883
Mutspitze,3257,46.8314506,10.7957081
Hochvernaglwand - Croda Vernaga Alta,3433,46.8177559,10.7587925
Langtauferer Spitze - Punta Vallelunga,3528,46.8047214,10.7459997
Innerer Bärenbartkogel - Cima Barba d'Orso di Dentro,3557,46.7998489,10.7198864
Äußerer Bärenbartkogel - Cima Barba d'Orso di Fuori,3473,46.7965822,10.6996478
Äußere Quellspitze - Cima della Sorgente di Fuori,3385,46.7784582,10.7294888
Egg,3219,46.7905689,10.7760614
Steinschlagspitze - Punta delle Frane,2861,46.7728234,10.7700677
Hasenkofel - Monte della Lepre,2572,46.7686763,10.7703914
Großer Nörderberg,2885,46.8715479,10.7252559
Unknown,3062,46.8580375,10.7233315
Zahn,3376,46.8509164,10.7257337
Wiesjagglkopf - Cima di Càrles,3130,46.8625495,10.6968449
Hinterer Wurmkogel,3082,46.8804735,11.0858914
Schermerspitze,3116,46.8874336,11.084316
Kirchenkogel,3115,46.8992835,11.0817453
Kleiner Kirchenkogel,2862,46.9080038,11.0742564
Plattenkogel,2897,46.8907598,11.0780854
Vorderer Wurmkogel,2682,46.886355,11.0626079
Königskogel,3055,46.8585875,11.0722547
Hintere Schwenzerspitze,2875,46.866087,11.0819821
Mittlere Schwenzerspitze,2889,46.8696779,11.0830174
Vordere Schwenzerspitze,2904,46.8714927,11.0841147
Festkogel,3038,46.8521363,11.0510882
Nördliche Ferwallspitze,2957,46.8532929,11.0711967
Südliche Ferwallspitze,2996,46.8486923,11.0736281
Essener Spitze,3200,46.8352621,11.0767413
Hoher First - Monte Principe,3405,46.826586,11.080731
Racinespitz - Rosinhorn,3035,46.8310114,11.086735
Ebener First,3034,46.8259776,11.1010826
Imstspitze,3024,46.8273659,11.1048156
Grinolspitze - La Testa del Lago,2763,46.847997,11.1129423
Unknown,3302,46.820662,11.0812718
Kirchenkogel,3282,46.8245198,11.0640744
Hohe Mut,2653,46.8486772,11.0304818
Trinkerkogel,3150,46.8128272,11.060638
Scheiberkogel - Cima Rocciosa,3133,46.8080778,11.056919
Heuflerkogel - Monte del Cumulo,3238,46.8150492,11.0643921
Rotmooskogel,3336,46.8078941,11.0486411
Mittlerer Seelenkogel,3426,46.8089366,11.0349851
Vorderer Seelenkogel,3286,46.818812,11.0305023
Eiskögele,3228,46.8215542,11.0238564
Hangerer,3020,46.835311,11.0180806
Hochebenkamm,3166,46.8262953,11.0195021
Rotegg,3341,46.7941681,11.0374767
Langtalerjochspitze,3157,46.7851123,11.0333196
Hochwilde (Nordgipfel),3461,46.7679577,11.0190085
Annakogel,3336,46.7741292,11.0114791
Unknown,3208,46.7799801,11.000873
Unknown,3200,46.7852001,10.9960503
Schwärzenspitze,2980,46.8125867,10.9905886
Unknown,3166,46.7991202,10.9991573
Unknown,3200,46.7921603,11.0070923
Bankkogel,3310,46.7670909,10.9931932
Falschungsspitze,3363,46.7679963,10.9879698
Querkogel,3448,46.7832894,10.9674368
Kleinleitenspitze,3446,46.7955789,10.9623805
Hinterer Diemkogel,3398,46.8032934,10.9451884
Mittlerer Diemkogel,3340,46.8078918,10.9354412
Vorderer Diemkogel,3368,46.8109781,10.9230808
Unknown,3380,46.8224115,10.9573944
Mittlerer Spiegelkogel,3311,46.8320815,10.9477375
Vorderer Spiegelkogel,3087,46.8387461,10.9384807
Kleiner Ramolkogel,3349,46.8405745,10.9633716
Mittlerer Ramolkogel,3518,46.8460877,10.9630645
Nördlicher Ramolkogel,3428,46.848444,10.9699359
Manigenbachkogel,3314,46.8593292,10.9748796
Südlicher Latschkogel,3357,46.8642054,10.9730958
Nördlicher Latschkogel,3386,46.8657563,10.9735572
Gampleskogel,3399,46.8672665,10.9760082
Zirmeggenkogel,3229,46.8741706,10.9871323
Stockkogel (Zirmkogel),3278,46.8814051,10.9885504
Gampleskopf,3165,46.8685809,10.9575142
Innerer Grießkogel,3109,46.8957224,10.9995719
Nederkogel,3163,46.9070305,11.008866
Fanatspitze,3361,46.7714868,10.9629606
Mittlere Marzellspitze - Punta di Marzèl mezzo,3529,46.7679641,10.9048401
Mutmalkamm,3265,46.7909038,10.918078
Kasererwartl,3287,46.7559183,10.8825967
Hintere Faulwand - Croda Marcia,3416,46.757194,10.8957825
Marzellkammspitze,3149,46.7808712,10.8720402
Hauslabkogel,3402,46.7873114,10.8466382
Sennkogel,3398,46.804953,10.8558489
Talleitspitze,3406,46.8332381,10.886672
Großes Kahndl - Gran Cadola,3179,46.7642243,10.8310286
Schwarze Wand - Croda Nera,3354,46.7757869,10.8153672
Graue Wand - Croda Grigia,3202,46.7729322,10.7951456
Grawand - Croda delle Cornacchie,3251,46.7690657,10.7996383
Ulsenspitz,2737,46.7611931,11.0996088
Rötenspitz - Punta Rossa,2878,46.7522336,11.1039315
Karkopf,2416,46.7855829,11.1078683
Erenspitze - Cima dell'Onore,2760,46.7644227,11.0776637
Erenschneid / Erenspitze,2645,46.7685174,11.0725081
Feldernkopf,2071,47.4831655,11.3362025
Schwemser Spitze - Punta di Oberettes,3456,46.7743033,10.7332001
Lagaunspitze - Punta di Lagaun,3440,46.7391537,10.7393738
Roter Kopf - Cima Rossa,3246,46.7976702,10.6778772
Rabenkopf - Cima dei Corvi,3394,46.7835159,10.6728103
Unknown,3356,46.7934207,10.6850558
Nördliche Valvelspitze,3329,46.775027,10.6707667
Westlicher Mataunkopf,2890,46.8481467,10.5785601
Brunnenkarkopf,3246,46.9094748,10.8471169
Hinterer Eiskastenkopf,3299,46.9133533,10.7783934
Piengkopf,2790,46.8605691,10.5643697
Südliche Wösterspitze,2537,47.2075217,10.1907828
Mittlere Wösterspitze,2557,47.2108972,10.1917987
Nördliche Wösterspitze,2558,47.2127096,10.1912794
Wösterkopf,2310,47.2246422,10.1808559
Krabachspitze,2522,47.1956927,10.2077715
Rauher Kopf,2520,47.1958674,10.2015437
Rüfispitze,2632,47.1911234,10.1823923
Trittwangkopf,2482,47.1856677,10.1994059
Fanggekarspitze,2640,47.1796712,10.2232075
Trittkopf,2720,47.1552756,10.1934871
Pazüelfernerspitze,2712,47.154644,10.2002674
Nördlicher Trittkopf,2581,47.1617112,10.1889315
Lisunspitze,2667,47.1554828,10.2358454
Fallersteinkopf,2336,47.1635121,10.2663757
Gloggerspitze,2523,47.1725068,10.2903171
Schindlekopf,2471,47.1686843,10.3160342
Gfällkopf,2023,47.1871107,10.318959
Kaisersteinspitze,2346,47.1816426,10.3196944
Vordere Schmalzgrubenspitze,2605,47.1849159,10.2409391
Hintere Schmalzgrubenspitze,2643,47.1831049,10.2394828
Kuglaspitze,2684,47.1802061,10.230854
Fleischkopf,2472,47.2041074,10.2580549
Zwölferkopf,2310,47.235832,10.3268049
Fallenbacherspitze,2723,47.2005194,10.3904535
Muttlerkopf,2617,47.2194221,10.3731294
Tajaspitze,2538,47.2275746,10.3758099
Etlerkopf,2693,47.21208,10.3729566
Pleisspitzen,2567,47.2115864,10.3772283
Pleiskopf,2656,47.2139698,10.3726321
Dreischartlekopf,2440,47.2065975,10.4242056
Saxerspitze,2690,47.2109144,10.4392248
Gartenspitze,2331,47.2623311,10.4486166
Großstein,2632,47.2424796,10.4917283
Südliche Torspitze,2622,47.237641,10.4943318
Kögele,2426,47.2365207,10.4897131
Westliche Hengstspitze,2599,47.2365263,10.4970315
Rotspitze,2837,47.1891244,10.4224245
Rote Platte,2831,47.1936695,10.4246278
Oberlahmsspitze,2658,47.2138445,10.4901535
Kleinbergspitze,2756,47.2021035,10.4966848
Vorderer Seekopf,2685,47.1931796,10.4763004
Mittlerer Seekopf,2702,47.1912351,10.4786187
Hinterer Seekopf,2708,47.1888736,10.4791079
Seeschartenspitze,2705,47.1947192,10.4952177
Seeschartenkopf,2664,47.1918262,10.4934317
Seeköpfle,2562,47.1933366,10.4857728
Edelrautenspitze,2450,47.1981167,10.4880015
Mittelrücken,2537,47.1808951,10.4840943
Feuerköpfe,2827,47.1646719,10.4574548
Grießmuttekopf-Nordwestgipfel,2807,47.171674,10.4393502
Grießlkopf,2813,47.1850865,10.4340414
Eisenkopf,2844,47.1637291,10.4504049
Stierköpfl,2538,47.1758742,10.4018307
Stierkopf,2589,47.1784071,10.4148887
Blankahorn,2822,47.1748463,10.5128145
Wannenkopf,2821,47.1743411,10.5232895
Unter-Rauhekopf,2704,47.1693712,10.5329367
Medriolkopf,2664,47.2135895,10.5239983
Westlicher Schafhimmelkopf,2712,47.220572,10.5236455
Großbergspitze,2657,47.2020578,10.5172911
Großbergkopf,2612,47.2017534,10.5098664
Östliche Spießrutenspitze,2700,47.2007248,10.5250475
Westliche Spießrutenspitze,2703,47.2005864,10.5213031
Gebäudspitze,2703,47.2143813,10.5451363
Bittrichkopf,2698,47.2165905,10.5441382
Kreuzjochspitze,2672,47.2001228,10.5572755
Sonnenpleis,2453,47.1930943,10.567362
Silberspitze,2461,47.1842071,10.5725131
Südliche Zwickspitze,2301,47.2667321,10.4933267
Nördliche Zwickspitze,2302,47.2680304,10.4939856
Hirschleskopf,2052,47.2595588,10.5115801
Große Schafkarspitze,2532,47.2527509,10.4943743
Gramaiser Spitze,2420,47.2484585,10.4959579
Chrummhüreli,2663,46.6825335,9.8083201
Chrachenhorn,2878,46.6882861,9.814517
Mittaghorn,2735,46.7018937,9.8657348
Piz Ducan,3063,46.6895531,9.8515728
Tällihorn,2684,46.7400833,9.866484
Witihüreli,2635,46.7521241,9.8674317
Schwarzflua,2625,46.7240403,9.8309112
Älplihorn,3006,46.7106448,9.825498
Plattenflue,3013,46.6929667,9.8611918
Augstenhüreli,3027,46.6917214,9.903217
Bot digl Uors,2230,46.6452114,9.6703416
Börterhorn,2697,46.7437316,9.8855419
Bocktenhorn,3044,46.7070851,9.902702
Chavagl Grond,2443,46.6379935,9.7002335
Chantota,2542,46.6320706,9.6696005
Chüealphorn,3078,46.6853686,9.9053628
Chlein Ducan,3004,46.6816826,9.8407323
Cuolm da Latsch,2296,46.6502912,9.7549075
Gfroren Horn,2747,46.7217282,9.8714812
Hüreli,2574,46.7316146,9.895418
Gletscher Ducan,3020,46.6748546,9.8301382
Gipshorn,2814,46.6775341,9.7980376
Jatzhorn,2682,46.7657363,9.8604965
Muchetta,2623,46.6752037,9.7321169
Piz d'Uglix,2967,46.6118156,9.7016926
Piz digl Barba Peder,2746,46.6076115,9.7185154
Piz Cuolmet,2796,46.6243491,9.6699438
Piz Crealetsch,2950,46.6646506,9.8127086
Piz Radond,2666,46.6159368,9.7192879
Piz Prosonch,2684,46.6531899,9.7849484
Piz Platta Roggia,2955,46.6600383,9.8046405
Piz Murtelet,3019,46.6704404,9.8681981
Piz Ela,3339,46.6019447,9.7076149
Piz Spadlatscha,2781,46.6157658,9.7038384
Piz Rugnux,2736,46.6091564,9.7340508
Piz Ravigliel,2987,46.6699515,9.8222615
Sattelhorn,2980,46.7102605,9.9023648
Rossboden,2601,46.7581985,9.8670283
Wuosthorn,2815,46.7345495,9.877903
Tschimas Da Tschitta,2745,46.5925911,9.7276135
Grüntalspitze,2399,47.2459344,10.5195781
Landschaftseck,2610,47.2357208,10.5075737
Steinkarspitze,2650,47.2326917,10.5740912
Hinterer Gufelkopf,2592,47.2324058,10.5675368
Westliche Plattigspitze,2558,47.251077,10.5739225
Östliche Plattigspitze,2548,47.2513083,10.5768149
Rotkopf,2692,47.2553121,10.6412492
Habart,2294,47.2934705,10.6325799
Falschkogel,2388,47.2946477,10.6597023
Pfeilspitze,2469,47.3302332,10.5738897
Rotwand,2395,47.3268494,10.5630627
Mittlere Kreuzspitze,2496,47.3363504,10.5927602
Elmer Muttekopf,2350,47.3533214,10.5795426
Tauberspitze,2298,47.3561635,10.603825
Pleiskopf,2560,47.2524277,10.6520453
Ödkarlekopf,2565,47.24839,10.6552353
Hinterer Scharnitzkopf,2554,47.2753744,10.6592426
Maldonkopf,2632,47.2747267,10.6698489
Vorderer Scharnitzkopf,2599,47.2751732,10.6663857
Hahnleskopf,2332,47.2819253,10.6923707
Hintere Platteinspitze,2723,47.2730594,10.6782351
Mannkopf,2171,47.2474234,10.6741597
Hinteres Alpjoch,2425,47.2546757,10.6637307
Östliche Steinmandlwand,2507,47.3053753,10.6940196
Gabelspitze,2581,47.3026371,10.6826475
Heiterwand Ostgipfel,2471,47.3154076,10.7467979
Tarrentonspitze,2608,47.3122102,10.7225189
Alpeilspitzen,2521,47.3077201,10.7111169
Alpeilspitzen,2450,47.3065287,10.7056766
Alpeilspitzen,2552,47.3088035,10.714651
Unknown,2275,47.3088309,10.6861259
Unknown,2117,47.3171156,10.6721385
Sinnesjoch,2273,47.302763,10.7748273
Rauchberg,2480,47.3042437,10.7584406
Alpleskopf,2258,47.3166293,10.7733059
Karleskopf,2179,47.3331105,10.6410476
Seelakopf,2368,47.3517887,10.7020016
Schlierewand,2217,47.3634391,10.7087645
Kalter Stein,2145,47.352846,10.6856785
Englspitzle,2235,47.3477867,10.6887491
Schlierekopf,2290,47.3428667,10.6944595
Rudigerkopf,2249,47.3366075,10.6922216
Schwarzhanskarspitze,2227,47.4051645,10.613041
Neualpspitze,2143,47.384458,10.63412
Dürrekopfspitze,2158,47.3801648,10.6390424
Mitterkarspitze,2191,47.3895818,10.6209784
Pleisspitze,2109,47.3956502,10.6009815
Mittergrotzenspitze,2193,47.3992662,10.6149082
Schartenberg,2071,47.4113667,10.6220528
Achseljoch,2020,47.4264555,10.7435655
Lachenspitze,2126,47.4400967,10.5176141
Furggabüel,2174,46.8044896,9.495551
Aserlespitze,2337,47.3406512,10.7572097
Gamplesspitze,2325,47.3409478,10.7474163
Karlekopf,2270,47.3425562,10.764918
Sittelehner-Kopf,2343,47.348062,10.7805535
Tagweidkopf,2408,47.358399,10.7770464
Unheimlicher Kopf,2189,47.3615256,10.7656648
Mittleres Kreuzjoch,2321,47.3635125,10.779887
Galtbergspitze,2391,47.3709985,10.7729162
Roter Stein,2366,47.3819288,10.7732884
Steinmandlspitze,2347,47.3774374,10.7686902
Hintere Suwaldspitze,2159,47.3754933,10.7542991
Östliches Kreuzjoch,2231,47.3645402,10.7881567
Vordere Suwaldspitze,2155,47.377594,10.7515953
Unknown,2052,47.3886954,10.7453102
Hönig,2034,47.3936552,10.7417231
Largoz,2214,47.2416749,11.5925722
Nördliches Kreuzjoch,2332,47.3643529,10.7784798
Unknown,2362,47.3858788,10.8190791
Gartnerwand-Westgipfel,2353,47.3846634,10.8147354
Säuling,2039,47.5349837,10.7538283
Kuhljochspitze,2297,47.3149478,11.2713787
Freiungen (W),2332,47.3177281,11.2555717
Kirchl,2225,47.3157508,11.2743531
Fleischbanktürme,2206,47.324605,11.2862828
Maderkarlspitze,2174,47.3369422,11.2831588
Fleischbankspitze,2206,47.3297763,11.2867058
Samstagkarspitze,2196,47.3333123,11.2852316
Hintere Brandjochspitze,2596,47.3029148,11.3392131
Hippenspitze,2386,47.3101041,11.3384984
Westliche Sattelspitze,2339,47.3060962,11.3515065
Östliche Sattelspitze,2369,47.307759,11.3526312
Kumpfkarspitze,2375,47.318523,11.3652122
Mittlere Kaminspitze,2435,47.3123241,11.3724004
Westliche Kaminspitze,2445,47.3125772,11.3695018
Östliche Kaminspitze,2435,47.3122658,11.374278
Seegrubenspitze,2350,47.3121747,11.379275
Gleirschspitze,2317,47.3156384,11.398184
Mandlspitze,2366,47.3196644,11.407129
Nördliches Gleierschtaler Brandjoch,2372,47.3261482,11.4101556
Südliches Gleierschtaler Brandjoch,2374,47.3244947,11.4104629
Unknown,2160,47.3213971,11.434324
Wildangerspitze,2153,47.3262498,11.4591035
Katzenkopf,2531,47.3508345,11.3643334
Oberer Sagkopf,2154,47.3545091,11.3497592
Äußere Rigelkarspitze,2407,47.3576703,11.364354
Mittlere Jägerkarspitze,2608,47.3537142,11.3753754
Südliche Jägerkarspitze,2579,47.3522881,11.3761567
Nördliche Jägerkarspitze,2596,47.3550006,11.3756641
Innere Rigelkarspitze,2438,47.3566665,11.3708289
Hinterödkopf,2451,47.3563047,11.3829122
Jägerkarlspitze,2470,47.3509949,11.3915091
Unknown,2618,47.3510552,11.3988098
Kaskarspitze,2580,47.3478084,11.4182767
Sonntagkarspitze,2575,47.3463515,11.4274229
Hintere Bachofenspitze,2668,47.345592,11.4383442
Roßkopf,2646,47.3395408,11.4418918
Große Stempeljochspitze,2543,47.3346336,11.4383225
Hohe Fürleg,2570,47.3402821,11.5344861
Walderkampspitze,2565,47.3400867,11.5375851
Hundskopf,2243,47.3410973,11.5582366
Südliche Sonnenspitze,2668,47.3864063,11.4776327
Nördliche Sonnenspitze,2650,47.3906032,11.4819705
Fiechter Spitze,2299,47.3675743,11.6444311
Gauggturm,2485,47.4044834,11.3544872
Kleine Riedlkarspitze,2244,47.4149841,11.3554009
Unknown,2473,47.4100006,11.385813
Bockkarlspitze,2435,47.414844,11.3858684
Angerkopf,2234,47.4200272,11.3856596
Unterer Spitzhüttenkopf,2390,47.3924085,11.3796941
Oberer Spitzhüttenkopf,2502,47.3969507,11.3809697
Unknown,2605,47.4020043,11.3864167
Unknown,2590,47.4062358,11.4011811
Birkköpfe,2581,47.4049812,11.4225167
Birkköpfe,2599,47.3998286,11.420666
Birkköpfe,2574,47.3959586,11.4177775
Unknown,2897,46.5156201,11.822873
Großer Heißenkopf,2437,47.3925156,11.4446518
Sägezähne,2660,47.3978504,11.4466823
Westliche Hochjöchlspitze,2473,47.4100533,11.4436134
Östliche Hochjöchlspitze,2552,47.4058924,11.4469217
Rauhkarlspitze,2619,47.4020043,11.4560005
Moserkarspitze,2533,47.3973988,11.4696246
l'Antersass,2908,46.5194079,11.8238256
Kühkarlspitze,2465,47.3934801,11.4757894
Brantlspitze,2626,47.3634633,11.5081466
Bockkarspitze,2589,47.3911206,11.4866607
Westlicher Ladizturm,2524,47.3908012,11.4924541
Östlicher Ladizturm,2542,47.3902953,11.4956299
Roßlochspitze,2538,47.3735042,11.5191794
Unknown,2615,47.3844332,11.5190612
Hallerangerspitze,2398,47.364656,11.485661
Unknown,2151,47.3649621,11.5530071
Spitzkarlspitze,2376,47.3687495,11.5574203
Plattenspitze,2492,47.3775129,11.5368682
Kaiserkopf,2506,47.3695219,11.5742705
Huderbankspitze,2318,47.3624711,11.5785562
Mitterkarlspitze,2418,47.3775412,11.5889838
Barthspitze,2461,47.3813212,11.5787864
Schafkarspitze,2505,47.3824555,11.5839714
Mitterspitze,2496,47.38213,11.5874308
Lamsenhüttenturm,2216,47.3789815,11.5966934
Niedernissl,2067,47.3635659,11.625337
Schneekopf,2313,47.3666937,11.6357737
Mittagsspitze,2333,47.3682628,11.6423153
Dent de Mezdi,2881,46.5288719,11.8297753
Col Aut,2882,46.5107642,11.81835
Col Turont,2927,46.5133502,11.8196503
Piz Léch Dlacè - Eisseespitze,3009,46.5142596,11.8327407
Le Ponte - Le Punte,2791,46.5130232,11.839162
Murfreitspitze,2634,46.5395709,11.8057827
Westliches Kirchl,2241,47.4307842,11.3035822
Kreuzwand,2130,47.4369645,11.3011712
Viererspitze,2054,47.437945,11.293681
Mittleres Kirchl,2211,47.4302026,11.3075093
Östliches Kirchl,2225,47.4303184,11.3097695
Westliche Larchetfleckspitze,2303,47.4304267,11.3113814
Östliche Larchetfleckspitze,2362,47.4307958,11.3134407
Schönbergspitze,2294,47.4390109,11.3313229
Südliche Großkarspitze,2289,47.4431519,11.3307007
Nördliche Großkarspitze,2420,47.4473049,11.3345092
Raffelspitze,2323,47.4448834,11.3647136
Bäralplkopf,2323,47.4468728,11.390339
Östliche Steinkarspitze,2015,47.4546499,11.4131303
Grabenkarturm,2448,47.4446882,11.426825
Unknown,2020,47.4498541,11.4323231
Unknown,2374,47.437729,11.4359081
Lackenkarkopf,2416,47.4375471,11.443805
Talelespitze,2104,47.4395331,11.4686729
Kleinvenediger,3470,47.1171539,12.3574996
Unknown,2317,47.434036,11.5112015
Kleiner Falk,2190,47.4447142,11.5076213
Turmfalk,2201,47.439887,11.5248827
Totenfalk,2131,47.4425358,11.5253948
Gumpenspitze,2176,47.4067563,11.5394443
Gamsjoch,2452,47.4183293,11.5488386
Ruederkarspitze,2240,47.4224558,11.5560303
Roßkopfspitze,2015,47.4345766,11.556711
Unknown,2195,47.4249069,11.6132863
Falzthurnjoch,2150,47.4352881,11.6309294
Schafjöchl,2157,47.3812544,11.614403
Rauher Knöll,2277,47.3869902,11.6229678
Lunstkopf,2142,47.3958332,11.6346413
Brentenkopf,2024,47.3881944,11.6471815
Dristenkopf,2005,47.4205105,11.6637725
Larchkarlkopf,2162,47.4048661,11.6444211
Gamskarspitze,2098,47.4007918,11.6670918
Kaserjoch,2198,47.4039493,11.6571848
Ochsenkopf,2148,47.398751,11.6801988
Hundskopf,2050,47.26839,10.212642
Peischelspitze,2512,47.2714318,10.2776862
Hochgundspitze,2460,47.2846536,10.262767
Steinschartenkopf,2615,47.284615,10.2802909
Wilder Kasten,2542,47.2698937,10.2876829
Linkerskopf,2459,47.29093,10.26369
Unknown,2512,47.267392,10.274682
Ellbogner Spitze,2552,47.2652285,10.2723158
Unknown,2468,47.269681,10.275247
Muttekopf,2431,47.27532,10.308822
Unknown,2362,47.276616,10.313397
Rote Tenne,2144,47.2814164,10.3221619
Wilder Mann,2577,47.287708,10.279934
Kleiner Rappenkopf,2276,47.28342,10.24396
Unknown,2073,47.2981718,10.2665222
Westlicher Berg der guten Hoffnung,2381,47.2979555,10.2854154
Trettachspitze,2595,47.30362,10.29545
Unknown,2279,47.3106812,10.2939821
Unknown,2328,47.3217691,10.3351478
Unknown,2385,47.32032,10.33937
Hornbachspitze,2533,47.3155274,10.3567417
Hielesköpfle,2248,47.3399245,10.3525988
Unknown,2017,47.37005,10.34466
Gieseler Wand,2020,47.3729,10.34246
Kleine Höfats,2073,47.36807,10.35452
Unknown,2049,47.33231,10.2074
Zwölfer,2224,47.306755,10.170654
Wildengundkopf,2197,47.2881364,10.1835715
Elfer,2387,47.302297,10.177474
Angererkopf,2263,47.2939,10.18548
Haldenwanger Kopf,2002,47.27507,10.17348
Zwölferspitze,2415,47.3426667,10.4726391
Elferspitze,2512,47.343971,10.4823662
Klimmspitze,2464,47.3518372,10.5060437
Gliegerkarspitze,2575,47.3344403,10.4540676
Steinspitze,2349,47.3291088,10.4698244
Pfeiler,2206,47.3140365,10.4569783
Hintere Jungfrauspitze,2394,47.327229,10.45674
Südlicher Söllerkopf,2390,47.314242,10.42883
Unknown,2482,47.327082,10.433161
Kreuzkarspitze,2587,47.3238852,10.4253575
Nördlicher Söllerkopf,2402,47.3182168,10.4274669
Bretterkarspitze,2267,47.334422,10.4323044
Schreierkopf,2198,47.331625,10.413178
Schöneggerkopf,2322,47.319513,10.4079
Westliche Plattenspitze,2493,47.3182971,10.3919887
Südliche Ilfenspitze,2545,47.3172543,10.3891402
Nördliche Ilfenspitze,2552,47.3181793,10.3873291
Südliche Wolfebnerspitze,2427,47.313734,10.399478
Nördliche Wolfebnerspitze,2432,47.3138026,10.3990689
Hermannskarturm,2442,47.308643,10.377113
Hermannskarspitze,2471,47.3100382,10.3766467
Unknown,2462,47.316842,10.378671
Westliche Faulewandspitze,2480,47.317003,10.364333
Östliche Faulewandspitze,2473,47.316664,10.367354
Rothornspitze,2393,47.2901222,10.3594985
Mutte,2187,47.291341,10.374439
Unknown,2141,47.383598,10.449693
Unknown,2087,47.386685,10.453879
Unknown,2218,47.38343,10.479438
Jochumkopf,2339,47.3848749,10.4749636
Kluppenkarkopf,2355,47.387101,10.468456
Großer Rosszahn,2356,47.390013,10.46796
Kleiner Rosszahn,2312,47.393773,10.475098
Horiger Rücken,2254,47.3809881,10.4985086
Unknown,2233,47.380081,10.495906
Östliche Rosskarspitze,2291,47.3800681,10.4903584
Westliche Rosskarspitze,2292,47.3807656,10.4866935
Stallkarspitze,2350,47.3854669,10.5023617
Unknown,2127,47.382315,10.511158
Grubachspitze,2100,47.3828646,10.5220947
Haldenspitze,2220,47.388641,10.5102116
Schnatterbachkopf,2065,47.392899,10.503918
Saldeiner Spitze,2036,47.3989122,10.5318987
Kanzberg,2009,47.353014,10.408591
Schafgrübler,2922,47.1012399,11.1602933
